id,context,utterance,implicature,implicature2
493,Would you like something European?,I like world music,1,Yes
494,Do you like arts and crafts?,I often knit things.,1,Yes
495,Want to go to the movies?,I'd rather go to the mall.,0,No
496,Do you like rice?,I eat rice with nearly every meal!,1,Yes
497,Do you like blues?,I find blues relaxing.,1,Yes
498,Have you been to the old neighborhood in the last year?,"Several times, actually.",1,Yes
499,Have you been with the company long?,Two or so years.,1,Yes
500,Do you drink alcohol?,I do love a glass of beer.,1,Yes
501,Have you been looking for awhile?,I looked for a few months.,1,Yes
503,Did you like your previous job?,"I hated it, which is why I needed a change.",0,No
504,Have you heard of any local restaurants?,I was hoping you would tell me some,0,No
505,Have you tried the new Thai restaurant at the Galleria?,I visited it last night.,1,Yes
506,Does rock interest you at all?,Rock is all I listen to!,1,Yes
507,Do you work with a lot of people?,Our team is small.,0,No
508,Do you regularly attend concerts?,We go to concerts twice a year.,1,Yes
509,Have you been trying to eat healthier?,I do my best.,1,Yes
510,Did you buy the 2 story victorian,I don't know who bought that one but it was't me.,0,No
511,Does Italian food appeal to you?,Lasagna's my favorite food.,1,Yes
512,Do you drink alcoholic beverages?,Only on special occasions.,1,Yes
513,Do you work everyday of the week?,Apart from weekends,1,Yes
514,Do you have to work your other job this weekend?,I am on holidays.,0,No
515,Do you go to concerts a lot?,I've never been to one.,0,No
516,Are you going to the high school reunion in June?,"I can't, I have a wedding to attend.",0,No
517,You like high pitch songs?,They irritate me.,0,No
518,Do you have plans for this evening?,I plan to head to the gym tonight.,1,Yes
519,Would you go to a dance with me?,I'm not much of a dancer.,0,No
520,Do you like family style restaurants?,Family restaurants have the best food.,1,Yes
521,Do you want to go grab a Brooklyn style pizza?,that would be good,1,Yes
522,Do you enjoy mysteries?,I used to love Encyclopedia Brown.,1,Yes
523,Have you been to South America?,We went to Brazil last year.,1,Yes
524,Do you want some time on your own to explore?,I'm happy for company.,0,No
525,Do you want to meet for dinner?,If I'm home in time.,1,Yes
526,Are you into going to festivals?,Festivals are too crowded for me.,0,No
527,Have you decided which one you want?,I found a flat,1,Yes
528,Are you interested in politics?,Politics have never interest me.,0,No
529,Are you okay with spicy food?,I'd rather not eat spicy food.,0,No
530,Do you enjoy being shocked by an ending?,Only when there's a sequel.,1,Yes
531,Are you leaving tomorrow?,"We are going to the comedy show tomorrow, remember?",0,No
532,You want to catch up over coffee?,I'd enjoy a coffee.,1,Yes
533,Have you ever been to a live rock gig?,I went to a Taylor Swift concert once.,1,Yes
534,Is your house nearby?,I'm staying in a motel around here.,0,No
535,Can we go for a walk?,I love walking around in the city.,1,Yes
537,Was work fun?,Work is always a chore.,0,No
538,Would you like to meet up with my family later?,Only if I don't have to talk.,1,Yes
539,Do you know what happened to Jimmy after he moved away?,I haven't heard from him in years.,0,No
540,Do you intend to live in the flat ?,The flat is for me and my husband.,1,Yes
541,Has it been six years since we last saw each other?,That's exactly how long it's been.,1,Yes
542,Was that biography that you read any good?,One of the best books ever.,1,Yes
543,Do you sing along to the radio?,When I am alone.,1,Yes
545,Have you been to the reggae fest here?,I've been a couple of times.,1,Yes
546,Is fiction what you're mostly into?,I read true stories more often.,0,No
547,Did you read The Help?,I've never heard of it.,0,No
548,How you seen the scooter rentals?,I haven't seen any yet,0,No
549,Do you remember me?,I could never forget my best friend.,1,Yes
550,Do you have to be home for a certain time?,"The joy of being single, my time is my own.",0,No
551,Do you feel like going for a long walk tomorrow?,A walk outside would be refreshing.,1,Yes
552,Do you still listen to Lady Gaga?,I'm not into pop much.,0,No
553,Do you enjoy seafood?,Shrimp are delicious.,1,Yes
554,Do you like to watch movies?,I frequently go the cinema nearby.,1,Yes
555,Is it technical?,The position is creative.,0,No
556,Are you from this city?,I grew up here.,1,Yes
557,Do you prefer to read fiction?,I can take it or leave it.,1,Yes
559,Ever read any Russian literature?,I can't say I have,0,No
560,Do you have plans for this weekend?,I'm meeting up with a few friends.,1,Yes
561,Is karaoke something you enjoy?,I find it extremely embarrassing.,0,No
563,Are you more into fancy restaurants?,I do like them,1,Yes
564,Have you ever taken a day off sick when you were not actually sick?,I can't imagine doing that.,0,No
566,Do you have dinner plans?,I did but thery were cancelled.,0,No
567,Do you like going on hikes?,When I have good shoes.,1,Yes
568,Are you into jazz?,I'm not not into jazz music.,0,No
569,Do you want to come over for a meal?,I have a roast in the oven.,0,No
570,Are you leaving tomorrow?,I'm staying here for two weeks,0,No
571,Have you always worked in this field?,I haven't got experience in this field,0,No
572,Have you tried Sweetish Hill on 6th yet?,Oh that sounds like a place I would like to try.,0,No
573,Are you an avid reader?,I read every night before bed.,1,Yes
574,Do you have a favourite instrument?,I love the drums.,1,Yes
575,Are you staying in a hotel?,I am for the time being,1,Yes
578,Does your job require you to travel?,Only the communte,0,No
579,Are you up for a hike tomorrow morning?,I'm down for whatever.,1,Yes
580,Will you be participating in any sporting activities on Saturday ?,I have a root canal scheduled that day.,0,No
581,Have you been to an orchestra concert?,I haven't yet,0,No
582,Would you like to hike?,That depends on the weather.,1,Yes
583,Do you play any musical instruments?,I play many,1,Yes
584,Do you listen to music when you work out?,I can;t workout without music.,1,Yes
585,Have you read \\\\Harry Potter\\\\\\?\\,These books were a favorite in my book club.,1,Yes
586,Do you have friends that live around here?,A few.,1,Yes
587,Are you offering the asking price?,just a little below it,0,No
588,"Can you afford $5,000 a month?",I have a big budget.,1,Yes
589,Do you have family from around here?,My siblings live close by.,1,Yes
590,Do you like museums?,I never usually do,0,No
591,Do you have a mortgage right now?,I paid my mortgage off last year.,0,No
592,How you seen the scooter rentals?,I tried one in San Diego -- they're fun.,1,Yes
593,Are you a fan of horror books?,"The scarier, the better",1,Yes
594,Do you work in the area?,I work pretty close to here.,1,Yes
595,Are you relieved it's Friday?,I am always happy to see Friday,1,Yes
596,Are you a supervisor?,I am a manager,1,Yes
597,Do you get promoted often?,I've been promoted a few times.,1,Yes
598,Do you guys want to go get something to eat?,I could grab a bite.,1,Yes
599,Was the trip good?,The trip was short and sweet!,1,Yes
600,Do you know how much flats usually go for?,I have a fair idea,1,Yes
601,Have you lived here long?,only a few months,0,No
602,Do you enjoy Alamo draft house?,I am a regular there.,1,Yes
603,Do you ever go hiking?,I've done it once or twice,1,Yes
604,Are you a fan of sports?,I root for our home teams.,1,Yes
605,Do you like books by Steven King?,I prefer books by Stephen King.,1,Yes
606,Have you stayed in touch with anyone from school?,I haven't heard from anyone in years.,0,No
607,Are you a fan of foreign food?,I can't think of any I haven't enjoyed.,1,Yes
608,Do you have any vacation plans?,I want to go to the beach!,1,Yes
609,"Hi, are you okay?",I think I just broke my toe.,0,No
610,Have you moved from out of town?,I moved in from the next town over.,1,Yes
611,Do you like scary contents?,I love horror fiction.,1,Yes
612,Do you like cardio?,Only at weekends,1,Yes
613,Are you into rap?,it's not my favorite type,0,No
614,Are you into music?,I play the saxophone.,1,Yes
616,Are the two of you dating now?,We haven't starting dating.,0,No
617,Do you listen to new music every Friday?,I listen to new music whenever I get a chance.,1,Yes
618,Are you new to Austin?,Just moved from Dallas.,1,Yes
619,Would you like to have a balcony?,that would be ideal,1,Yes
620,Are you a vegetarian ?,That's laughable.,0,No
621,Is shopping up your alley?,I prefer free activities.,0,No
622,Would you like to come around for dinner?,That sounds lovely.,1,Yes
623,Are you divorced?,I've never been married.,0,No
624,Are you in to mystery books?,I prefer non fiction.,0,No
625,Are you still engaged?,She broke off our engagement last month.,0,No
626,Would you go to a metal show?,I think the energy at a metal show would be crazy cool.,1,Yes
627,Is your job close to home?,I have a long commute.,0,No
628,Do you prefer to hold a book?,I prefer an E-reader.,0,No
629,Want to lend a self help book?,of course that's fine,1,Yes
630,Chilly tonight isn't it?,"It's January, so that makes sense.",1,Yes
631,Are you going to a show this weekend?,I don't have a ticket,0,No
632,Can you eat any type of food?,I am a pescatarian.,0,No
633,Would you like to go to the movies?,I need to see some Oscar nominated movies.,1,Yes
634,Have you been to the new bar in the neighborhood?,"I just saw an ad for that place, but I'm not sure where exactly it is.",0,No
635,Are you a kind ?,I do my best to be.,1,Yes
636,Do you have to do heavy-lifting?,"I work at a desk, so no lifting involved.",0,No
637,Are you happy?,When I'm with family and friends.,1,Yes
638,Have any weekend plans?,I've got nothing on my calendar.,0,No
639,Are you new in the neighborhood?,We've been here 2 years now.,0,No
640,Are you a fan of classics?,I prefer contemporary books.,0,No
641,Are you doing something fun this weekend?,We're going to a spa.,1,Yes
642,Are you available to move in April?,I won't be able to move until July.,0,No
643,Are you thinking of moving soon?,As soon as possible,1,Yes
644,Do you like books about astrology?,They seem dated now that the astrological charts have been revised.,0,No
645,Have a nice house yet?,We just bought one down the road from here.,1,Yes
646,Do you like to swim?,I swim on a weekly basis.,1,Yes
648,Do you like rock?,I only like classic rock.,1,Yes
649,Are you still into sci fi movies?,I'm not a fan anymore,0,No
650,Is the beach a place you like to go?,I love the outdoors,1,Yes
651,Do you spend a lot on food?,With four kids I do.,1,Yes
652,Have you heard of the Father Brown mysteries?,I am not familiar.,0,No
653,Are you a fan of classic literature?,I wasn't very interested in the ones we read in school.,0,No
654,Have you been to ACL Festival?,I plan to go for the first time this year.,0,No
655,Is the pay good?,I have a great wage.,1,Yes
