context,utterance,implicature
Do you get promoted often?,I've only moved up once since I've been there.,0
Do you like a lot of bass in your music?,I usually have the bass cranked.,1
Are you getting settled into your new place?,Just finished getting everything out of boxes.,1
Have you ever read Neil Gaiman?,I read Coraline as a child.,1
Have you taken a Uber?,That's never worth it.,0
Do you like eating fast food?,Now and again I do,1
Do you like romance books?,I wouldn't say so,0
Did you just move to this area?,I've been here for a month,1
Do you want to head to a bar?,It's five o'clock somewhere!,1
Have you ever played the guitar?,I played acoustic guitar.,1
Do you like being outside?,if the weather is nice,1
Do you usually have to work late?,Only once every few days.,1
Do you have family coming to visit?,Depends on whether on not my dad is feeling better.,1
Would you like to watch a movie while we eat dinner?,I'm open to it.,1
Do you enjoy your job?,I love my job.,1
Want to have a luncheon today?,"I can't today, how about tomorrow",0
Are you into young adult novels?,I wouldn't say I am,0
Did you read The Help?,I can't recall that.,0
Do you have to do heavy-lifting?,Luckily I don't.,0
Am I the same as you thought I'd be now?,You look exactly the same as before.,1
Does it have a view?,If you count a brick wall a view.,0
Are you bringing any pets into the flat?,I'm not allowed to have pets.,0
Would you eat Mediterranean food?,I'll try anything once.,1
Do you like to play team sports?,I'm too competitive.,0
Is it an office job?,It's mostly working outdoors.,0
Did you go anywhere last weekend?,I stayed at home last Saturday and Sunday.,0
Do you have energy to go out tonight?,Let's drink and dance.,1
Had a good week?,We sailed through it.,1
Are you all headed out now?,"We are done for the day,",1
Do you like travelling up town?,Depends of where you want to go.,1
Would you like to go see a movie?,That would be great.,1
Do you like eating out?,Making my own meals is much more satisfying.,0
Are you walking home?,I ride my bike to and from work.,0
Did all of your luggage arrive?,I think it has,1
Is your job too far?,I travel 2 hours each day.,1
Is the price reasonable?,I found a great deal.,1
Do you like top 40 music?,I prefer new artists.,1
Are you a hiker?,We hike all the time.,1
Do you like books with a mystery as part of the plot?,I love a good mystery.,1
Do you want to go grab a happy hour drink?,This task is going to take a while longer.,0
Do you eat here often?,I try to come in every month or so.,1
is it cold outside?,It's been freezing lately.,1
Did you go to college?,I went to UM for a few years.,1
Are you leaving tomorrow?,I need to head back in the morning.,1
Do you like truffle oil?,Can't say I'm familiar with it.,0
Have you been to any shows lately?,I haven't been to any for a while,0
Do you still talk to our friend Katie?,I'm seeing her tomorrow actually!,1
Is it in the same industry?,Everything is the same except for the pay and job title.,1
Are you happy?,I'm enjoying life.,1
Do you drink?,I like a Moscow Mule.,1
Have you been downtown to any of the museums?,Tell me more!,0
Do you like series of books?,I love reading long sagas.,1
Do you still like listening to blues?,It's not my favorite.,0
Have you brought enough luggage?,I travel with everything I own.,1
Would you like to check out some bars tonight?,Only if they aren't too busy.,1
Are going shopping?,We have to pick up a few things.,1
Do you read mystery novels,I've never tried.,0
Do you have a date night all planned out?,I forgot it was Friday!,0
Do you want to grab something to eat?,I'm joining my family for dinner tonight.,0
Are you a fan of comics?,I prefer novels,0
Have you gone out to eat recently?,I went to a Thai place yesterday.,1
Are you busy Saturday?,I'll be at a workshop all day that day.,1
Do you prefer to read hardbacks ?,Paperbacks are more compact.,0
Are you allowed to eat pasta on your diet?,Thankfully I can eat noodles still.,1
Do you like sports?,I play soccer.,1
Do you enjoy fishing?,Fishing is boring.,0
Do you want to go for a drink?,I just quit drinking.,0
Are there too many deadlines?,There are a ton of milestones!,1
Have you gone down to the river?,When I was a kid.,1
Do you like oldies?,"The older, the better.",1
Have you been well?,"I've been doing very well, thanks.",1
Does it have two bedrooms?,It's a studio.,0
Have you researched the areas you are interested in?,I've got a chart.,1
Are you willing to read this book together?,I don't have the patience for that.,0
Are parking fees included in your rental agreement?,There's not a parking lot for cars.,0
Are you looking for a 1-bedroom apartment?,I need at least two bedrooms.,0
Would you like to see a movie?,I want to be outdoors.,0
Did you have a good flight?,I experienced some of the worst turbulence I remember.,0
Do you like working in groups?,I'm better at working by myself.,0
Are you into fitness?,If I'm in the right mood,1
Have any kids yet?,I'd rather have dogs.,0
Did your last job allow you a lot of autonomy?,Not at al,0
Do you like Jane Austen?,My favorite book is \\Emma\\,1
Have you worked for a corporation before?,I worked for Microsoft back in the day.,1
Do you like New York?,Everything happens in New York.,1
Is New York a nice place?,Its a great place,1
Are you employed?,I run my own business.,1
Are you still in touch with friends from our old neighborhood?,Tina and I talk everyday.,1
Do you have a job you enjoy?,most of the time I do,1
Do you like vegan food?,I always feel good about plant based.,1
Have you heard Mozart?,Of course,1
Are you interested in going to the movies?,I'm not much of a film goer.,0
Are you ok with party noises?,I don't mind them,1
Can we talk about how your family is doing?,They're doing fine.,1
Are you busy Saturday?,I'll be working all day.,1
Do you like blues?,I listen to Muddy Waters.,1
Fancy going for a drink?,thats a good idea,1
Would you like to learn cooking recipes?,A good cookbook can help me do this.,1
Are you an animal lover?,I have ten cats.,1
"I know you're not used to this heat, would you want to go take a dip at Barton Springs to cool off?",That would give me a chance to show off my summer body.,1
Are you worried about money?,It's more about feeling fulfilled than the money.,0
Do you ever miss our old neighborhood?,I have such great memories of it.,1
Do you want to work closer to home?,I'd love to work closer so I can have more time with my family.,1
Did you go anywhere last weekend?,We had a road trip to the mountains.,1
Are you going out to eat tonight?,I am going straight home,0
Is there a specific dish that you enjoy?,Pad Thai or waffles.,1
Will you be having a lie in in the morning?,"After the week I just had, I will need one.",1
Have you visited New York before?,I try to get there once a year.,1
Is the Harry Potter series of any interest to you?,I find it annoying.,0
Do you like any sports?,Cricket is my favourite.,1
Would you live there again if you had the chance?,I'd love to live there again.,1
Do you remember what we got up to as children?,"Nothing but mischief, as far as I remember!",1
Have you read Stephen King?,Every book gave me nightmares for weeks.,1
Do you like to party a lot?,I'm more of an introvert.,0
Have you seen the latest movies?,I regularly visit the local cinema.,1
"Before we go any further I have to know, do you like lasagna?",When it has ricotta cheese.,1
Are you unhappy at your current job?,I have been bored.,1
Does it have anything to do with food?,I have never worked in the industry.,0
Do you like getting a massage?,I like getting massages on certain days.,1
Have you seen any live bands lately?,I went to see Taylor Swift in concert.,1
Would you enjoy a jazz concert?,I prefer rock.,0
Would you like to have a balcony?,Outdoor space would be a luxury.,1
Are you busy Saturday?,My day is pretty much open.,0
Is it an office job?,As usual.,1
Do you like novels?,Reading is always happening at my house.,1
Is your favorite food American food?,I usually go for something more exotic.,0
Is it close to a subway station?,It's down the street from a bus stop.,0
Do you like to work out?,I lift weights every other day.,1
Have you lived in this city long?,I grew up here.,1
Are you studying somewhere?,I graduated.,0
Would you like to check out some bars tonight?,that would be good,1
Are you from Austin?,I'm from Houston.,0
Do you have family in the area?,My mother lives a mile away.,1
Have you ever played an instrument?,I did use to play the drums.,1
Do you like french fries?,I love them with burgers.,1
Did you enjoy eating vegetables growing up as a kid?,I was always a fan of broccoli.,1
Do you want a new challenge?,I don;t like to be challenged.,0
Would you get a housemate?,I'm finally able to afford living on my own.,0
